rare_species_id,file_path,family
5a259dbb-e7b1-4485-9517-0fb0aa4a069d,14177753_45511531_accipitridae_rotate_30.jpg,accipitridae
5f151629-52f4-498f-8a7f-2a4a93dd9c32,30098505_205909_acipenseridae_rotate_30.jpg,acipenseridae
d54d7e19-5211-4bad-9cd8-55c3fab1a45c,28233665_205910_acipenseridae_rotate_30.jpg,acipenseridae
f362292e-1547-45b5-981c-08dbae0aa6a2,29619954_46561170_acipenseridae_rotate_30.jpg,acipenseridae
a1f99903-9a82-4873-b791-32f6b4353201,29537902_205910_acipenseridae_rotate_30.jpg,acipenseridae
1daa4d7a-ce84-40ef-beb8-33ef1408da36,28762222_46561170_acipenseridae_rotate_30.jpg,acipenseridae
fb6ca306-184c-4750-aa7b-253c1e1f5f53,29619944_46561170_acipenseridae_rotate_30.jpg,acipenseridae
227064ee-3bce-4295-900f-d9634b32cd76,12305610_46561170_acipenseridae_rotate_30.jpg,acipenseridae
74d15b06-aa6b-4980-bab9-a0d9aac3770e,2746436_205910_acipenseridae_rotate_30.jpg,acipenseridae
4c043d59-03ae-4ab7-b237-411edc219fef,29537903_205910_acipenseridae_rotate_30.jpg,acipenseridae
765ef37f-73c7-4c7d-a0a0-73a2402a0249,2746437_205910_acipenseridae_rotate_30.jpg,acipenseridae
8b649a82-576a-4226-a01c-5ad0e0733f0e,30098510_205909_acipenseridae_rotate_30.jpg,acipenseridae
0649c1ee-563b-439f-8218-6a107952d9b3,12305608_46561170_acipenseridae_rotate_30.jpg,acipenseridae
662adccd-d515-430f-aee4-7d6416236fda,2746430_205910_acipenseridae_rotate_30.jpg,acipenseridae
20c464fd-b34a-435f-a3fd-496bed568654,14001528_205910_acipenseridae_rotate_30.jpg,acipenseridae
faaa9716-174e-493d-b436-c7e0ac5a6e06,20495365_205910_acipenseridae_rotate_30.jpg,acipenseridae
e0838fd2-ecf9-4b94-bee9-7fc580c21296,29537897_205910_acipenseridae_rotate_30.jpg,acipenseridae
31beb785-bba5-4ca8-bd64-467f26a81911,30098497_205909_acipenseridae_rotate_30.jpg,acipenseridae
222b4e68-e9ff-4d6e-8ef5-fe1c51903c9b,30098512_205909_acipenseridae_rotate_30.jpg,acipenseridae
1299b154-ec09-4ff1-8021-bb6d38ced5be,20495364_205910_acipenseridae_rotate_30.jpg,acipenseridae
9affc62e-f93e-41ee-a1ed-4e26dc0494b7,28233666_205910_acipenseridae_rotate_30.jpg,acipenseridae
e494e6ff-93d3-48dc-b75d-1caf1a9bd867,28762218_46561170_acipenseridae_rotate_30.jpg,acipenseridae
c2de4df2-0e73-4f35-964e-e5eecb62c1e2,30098487_205909_acipenseridae_rotate_30.jpg,acipenseridae
44e4cf24-7089-4bf1-9fac-393cc071a78b,20495359_205910_acipenseridae_rotate_30.jpg,acipenseridae
daac0353-d12c-4286-89c1-a99d82f91086,24580741_46561170_acipenseridae_rotate_30.jpg,acipenseridae
609381c6-72bc-49b6-8ecf-2e5a18a87680,9308_46561170_acipenseridae_rotate_30.jpg,acipenseridae
27cf2273-f5d5-466c-ac74-6c640ea3d512,20284636_205909_acipenseridae_rotate_30.jpg,acipenseridae
77c6198e-5461-4c31-8820-3f416a76d1d7,30098521_205909_acipenseridae_rotate_30.jpg,acipenseridae
0acd3d49-0b3e-421c-8274-4d2928e746f4,14185254_46561170_acipenseridae_rotate_30.jpg,acipenseridae
